City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
545,Paka,MY,75.13,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
547,Sorong,ID,81.27,-0.8833,131.25,Waigo Splash Hotel
548,Samandag,TR,81.12,36.0842,35.9771,Anadolu Palace Hotel
549,Ambon,ID,82.54,-3.6954,128.1814,Swiss-Belhotel Ambon
553,Muborak,UZ,77.95,39.2553,65.1528,Muborak temiryoʻl vakzali
556,Wangou,CN,79.14,42.0623,126.9127,Changbaishan Restaurant
560,Asyut,EG,84.38,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
570,Esparta,HN,80.74,15.7437,-87.1766,
573,Soure,BR,78.67,-0.7167,-48.5233,Casarão da Amazônia
574,Barcelos,PT,77.85,41.5388,-8.6151,Hotel Restaurante Bagoeira
575,Sabang,ID,82.31,5.8933,95.3214,Hotel Citra
576,Zhanaozen,KZ,79.23,43.3,52.8,K.korabay 28A
577,Jining,CN,84.49,35.405,116.5814,Yunhe Star Hotel
578,Bandarbeyla,SO,76.01,9.4942,50.8122,JABIR HOTEL
582,Nenjiang,CN,75.45,49.1833,125.2167,Nenjiang Apartment
583,Chengde,CN,83.52,40.9725,117.9361,Super 8 Hotel
588,Srednekolymsk,RU,76.28,67.45,153.6833,
590,Dongfeng,CN,79.45,42.6403,125.5118,Home Inn
592,Spring Valley,US,86.29,36.108,-115.245,Westgate Flamingo Bay Resort
595,Umm Kaddadah,SD,76.96,13.6017,26.6876,
602,Touros,BR,76.51,-5.1989,-35.4608,INN NEW HORIZON
609,Tenosique,MX,75.27,17.4833,-91.4333,Hotel Central
611,Kiri Buru,IN,78.46,22.0833,85.35,Lucky India
612,Monte Alegre,BR,76.28,-2.0078,-54.0692,Hotel Shekinah
613,Klaeng,TH,82.94,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
616,Shaowu,CN,88.86,27.3409,117.4831,Yijie Express Hotel
617,Barbastro,ES,77.54,42.0356,0.1269,Gran Hotel Ciudad De Barbastro
620,Kalianget,ID,81.05,-7.05,113.9333,Pesanggrahan Garam
621,Puerto Escondido,MX,81.86,15.85,-97.0667,Aldea del Bazar Hotel and Spa
628,Manggar,ID,83.21,-2.8833,108.2667,Guest Hotel
630,Manjeshwar,IN,79.75,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
634,Bilma,NE,88.34,18.6853,12.9164,Expeditions Ténére voyages
637,Goderich,CA,79.12,43.7501,-81.7165,Harmony Inn
640,Yatou,CN,79.81,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
642,Auki,SB,85.68,-8.7676,160.7034,Auki Motel
644,Lamu,KE,75.42,-2.2717,40.902,Lamu House
650,Ranong,TH,76.93,9.9658,98.6348,Numsai Khaosuay Resort Ranong
655,Half Moon Bay,US,80.53,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
656,Naze,JP,81.52,28.3667,129.4833,Shishime Hotel
657,Katherine,AU,79.12,-14.4667,132.2667,Pine Tree Motel
